# z	mean C
43.619	1.071
38.919	1.093
31.137	1.158
30.000	1.174
27.900	1.213
26.124	1.259
24.597	1.318
23.268	1.391
22.100	1.482
21.062	1.594
20.134	1.726
19.298	1.883
18.540	2.052
17.848	2.254
17.215	2.465
16.633	2.702
16.095	2.939
15.596	3.192
15.132	3.474
14.699	3.791
14.294	4.064
13.914	4.379
13.557	4.730
13.221	5.105
12.903	5.450
12.603	5.768
12.318	6.060
12.048	6.541
11.791	6.891
11.546	7.315
11.313	7.733
11.090	8.056
10.877	8.358
10.673	9.063
10.478	9.434
10.290	10.024
10.110	10.398
9.938	10.910
9.771	11.156
9.611	11.957
9.457	12.299
9.308	12.820
9.164	13.526
9.026	13.996
8.892	14.736
8.762	15.188
8.636	15.917
8.515	16.652
8.397	16.978
8.283	17.726
8.172	18.352
8.064	18.994
7.960	19.655
7.859	20.442
7.760	20.862
7.664	21.911
7.570	22.315
7.480	23.286
7.391	23.969
7.305	24.817
