# z	mean C
43.619	1.068
38.919	1.088
31.137	1.150
30.000	1.164
27.900	1.200
26.124	1.242
24.597	1.295
23.268	1.361
22.100	1.442
21.062	1.542
20.134	1.658
19.298	1.797
18.540	1.947
17.848	2.125
17.215	2.312
16.633	2.521
16.095	2.733
15.596	2.954
15.132	3.204
14.699	3.480
14.294	3.724
13.914	3.990
13.557	4.310
13.221	4.629
12.903	4.920
12.603	5.199
12.318	5.470
12.048	5.855
11.791	6.175
11.546	6.529
11.313	6.905
11.090	7.173
10.877	7.468
10.673	7.979
10.478	8.286
10.290	8.778
10.110	9.106
9.938	9.518
9.771	9.767
9.611	10.358
9.457	10.694
9.308	11.089
9.164	11.656
9.026	12.027
8.892	12.671
8.762	12.922
8.636	13.551
8.515	14.089
8.397	14.418
8.283	15.032
8.172	15.456
8.064	16.022
7.960	16.556
7.859	17.116
7.760	17.388
7.664	18.159
7.570	18.554
7.480	19.217
7.391	19.802
7.305	20.369
