# z	mean C
43.619	1.071
38.919	1.093
31.137	1.159
30.000	1.175
27.900	1.213
26.124	1.260
24.597	1.319
23.268	1.392
22.100	1.484
21.062	1.597
20.134	1.729
19.298	1.887
18.540	2.057
17.848	2.258
17.215	2.472
16.633	2.707
16.095	2.947
15.596	3.201
15.132	3.484
14.699	3.800
14.294	4.075
13.914	4.398
13.557	4.738
13.221	5.117
12.903	5.461
12.603	5.776
12.318	6.078
12.048	6.551
11.791	6.920
11.546	7.346
11.313	7.766
11.090	8.076
10.877	8.384
10.673	9.113
10.478	9.488
10.290	10.125
10.110	10.423
9.938	10.963
9.771	11.201
9.611	12.010
9.457	12.354
9.308	12.871
9.164	13.603
9.026	14.084
8.892	14.829
8.762	15.275
8.636	15.950
8.515	16.760
8.397	17.032
8.283	17.801
8.172	18.477
8.064	19.043
7.960	19.677
7.859	20.589
7.760	20.945
7.664	21.982
7.570	22.386
7.480	23.408
7.391	24.054
7.305	24.923
