,bin0,bin1,bin2,bin3
19.2980,"[-1.740073483771273, 0.1893961809792585, -0.1745142553070353, -0.03912242026035892, -0.07956699667757848]","[-1.4568408381816766, 0.11629522939704483, -0.03912242026035892, -0.0020223832502854395, -0.019237953885415514]","[-1.2911448964978185, 0.11294801777786, -0.0020223832502854395, 0.03331262126796372, 0.016065211758692837]","[-1.0741652508544046, 0.14739063740452504, 0.03331262126796372, 0.22256075303538853, 0.06960882969772564]"
18.5400,"[-1.6125386346971036, 0.19681164226200773, -0.18048140351791817, -0.04050629842575276, -0.08256884173247227]","[-1.3218830631412517, 0.11446854811851695, -0.04050629842575276, -0.002367567047405337, -0.020054777246352067]","[-1.1587218712508627, 0.10826110941383596, -0.002367567047405337, 0.03458518324512744, 0.01652888414230894]","[-0.9557209253663658, 0.13085357591326185, 0.03458518324512744, 0.23004894573512932, 0.07191903064971165]"
17.8480,"[-1.4953018421688573, 0.20234923663279877, -0.1862047410716861, -0.04181695933731202, -0.08546745867979748]","[-1.1971676886979767, 0.11102022993513021, -0.04181695933731202, -0.002386170556805975, -0.02083707619179066]","[-1.0342486759321543, 0.10702498968316741, -0.002386170556805975, 0.03566594149886189, 0.016980178190559473]","[-0.8410340520663545, 0.126153985647076, 0.03566594149886189, 0.23693923263242608, 0.07412713740323246]"
17.2150,"[-1.381943498015395, 0.20535527874836618, -0.19172188392338366, -0.0431582493091226, -0.08825635440782804]","[-1.0834781618535179, 0.10695285874789869, -0.0431582493091226, -0.0024218753449611764, -0.02158037773411551]","[-0.926935497295874, 0.09838420007457335, -0.0024218753449611764, 0.036455815779965296, 0.017412995222285864]","[-0.7447890934156006, 0.1150677063104966, 0.036455815779965296, 0.2434374559641858, 0.07622038432017673]"
16.6330,"[-1.2762304822749726, 0.20524765012943255, -0.1970655421875561, -0.04464287246766452, -0.09095259760391097]","[-0.9804584879639647, 0.10156601330983338, -0.04464287246766452, -0.002420203623397325, -0.022283167425983727]","[-0.8306198913374865, 0.09297209161729847, -0.002420203623397325, 0.03738161017094619, 0.017831947383427013]","[-0.6562687616879765, 0.10891214288312187, 0.03738161017094619, 0.24941855328389903, 0.07820778310135103]"
16.0950,"[-1.1800759456866476, 0.20366151505159938, -0.2022189203606331, -0.046096684998904965, -0.09355147910557247]","[-0.8887995254811352, 0.09751023724309782, -0.046096684998904965, -0.0025003834817401297, -0.02295195944072509]","[-0.7455217084082394, 0.08559069421166322, -0.0025003834817401297, 0.038297782654276774, 0.018230970312127375]","[-0.5867811590834732, 0.10129504000376457, 0.038297782654276774, 0.2549754379044716, 0.0800726970395622]"
15.5960,"[-1.0914258971417619, 0.2017782124209281, -0.20716829807422316, -0.047456362341184624, -0.0960457888849793]","[-0.8083850815315092, 0.0917522307457778, -0.047456362341184624, -0.002540818983572754, -0.023581475347353015]","[-0.6740581506305816, 0.08228683918824128, -0.002540818983572754, 0.03934457373646924, 0.018620861067628693]","[-0.5206796205462368, 0.09843538256058783, 0.03934457373646924, 0.26043579613731477, 0.081856967060343]"
15.1320,"[-1.0083602883161498, 0.19614800597970566, -0.21188887620457106, -0.048816496613947824, -0.09845663207571455]","[-0.7339155485289615, 0.08978441687390432, -0.048816496613947824, -0.0025681434842385747, -0.024182606285531007]","[-0.6039493632857978, 0.08000736611790599, -0.0025681434842385747, 0.04010922243594243, 0.018995337437970706]","[-0.45770857523961983, 0.09474851930073498, 0.04010922243594243, 0.26538470568050326, 0.0835651804047626]"
14.6990,"[-0.9288691476786364, 0.19393369139042596, -0.2164150101760518, -0.04986751370600708, -0.10079093470975374]","[-0.6633243132786952, 0.08394031825008791, -0.04986751370600708, -0.0025210598050006625, -0.02476802322773612]","[-0.5369889811373273, 0.07948697438393898, -0.0025210598050006625, 0.041065055493508466, 0.019345142026147944]","[-0.39758064938984444, 0.09408278283149628, 0.041065055493508466, 0.27033965984901837, 0.08518889665406829]"
14.2940,"[-0.859996194000247, 0.18844197465401485, -0.22077470008309852, -0.05093885089522667, -0.10303106385561393]","[-0.6028726378045733, 0.07791277927299269, -0.05093885089522667, -0.002663177005173405, -0.02532341360140553]","[-0.4858960444662552, 0.07123997512061091, -0.002663177005173405, 0.04165683596148091, 0.019678904359071853]","[-0.35404283857801944, 0.08612907979663144, 0.04165683596148091, 0.2743386376645846, 0.0867088871278021]"
13.9140,"[-0.7964844749829998, 0.18117174334655675, -0.22495633897519585, -0.05221665021942669, -0.10518699616430677]","[-0.5503320930369043, 0.07615724347594927, -0.05221665021942669, -0.0025896630490042215, -0.02585439332303368]","[-0.43804990112109693, 0.07550988031438705, -0.0025896630490042215, 0.04233727389550838, 0.020003071048871647]","[-0.3104690312640012, 0.09296293197470232, 0.04233727389550838, 0.2788782897201931, 0.08816919190592708]"
13.5570,"[-0.7326555068427949, 0.17510022888898988, -0.2290111899718266, -0.05359435973160512, -0.10730291563598908]","[-0.49330557848975903, 0.0760226135658652, -0.05359435973160512, -0.002532783820591106, -0.02637380304760169]","[-0.38482298622957556, 0.07049406584088265, -0.002532783820591106, 0.043304607583237315, 0.020319680256380278]","[-0.2642589396773244, 0.08282976107317767, 0.043304607583237315, 0.2829184407676377, 0.08959534221204628]"
13.2210,"[-0.6767071618705061, 0.1699250415160994, -0.23289696882053518, -0.054869774174195945, -0.10935163361617935]","[-0.44360127775718083, 0.07676432366274237, -0.054869774174195945, -0.0025326291029252944, -0.026881607134477816]","[-0.3393369008210837, 0.0732942362148435, -0.0025326291029252944, 0.04420513947068322, 0.02060669861100376]","[-0.22157182175837759, 0.0872082616655726, 0.04420513947068322, 0.28752420663575323, 0.09097353693943981]"
12.9030,"[-0.6291899098322258, 0.16430323709940783, -0.2366346582579966, -0.055759331557207796, -0.11132722922999898]","[-0.4043141708334128, 0.06961989812225208, -0.055759331557207796, -0.0024732051225114667, -0.02736438662621197]","[-0.3020258589625428, 0.06935751284589889, -0.0024732051225114667, 0.045055296652092264, 0.020889836131224655]","[-0.18613426832431476, 0.08711169549359675, 0.045055296652092264, 0.2901376595141228, 0.09227660813782877]"
12.6030,"[-0.5853470872236087, 0.15856919375491696, -0.24023861968586813, -0.05696612779730893, -0.1132326652880355]","[-0.36893384526285966, 0.06613156127428126, -0.05696612779730893, -0.002508920804375784, -0.027829203090804135]","[-0.26723456248534183, 0.06946400320797227, -0.002508920804375784, 0.04575008362346896, 0.021176346990695892]","[-0.15773681915222734, 0.0875555793877342, 0.04575008362346896, 0.2951715308287706, 0.0935503872301474]"
12.3180,"[-0.5435629331081502, 0.1539323339926329, -0.24371913471008302, -0.05782111109028703, -0.11507342356611876]","[-0.3365265904211619, 0.06414809617291095, -0.05782111109028703, -0.0025554535318467863, -0.0282806892204207]","[-0.24166021877247437, 0.06596388628808413, -0.0025554535318467863, 0.04644071270134122, 0.02144344764566626]","[-0.13227454539243802, 0.08679241954885895, 0.04644071270134122, 0.2994315025254666, 0.09476042644204595]"
12.0480,"[-0.5008799661408126, 0.14878005067857808, -0.2472354482162068, -0.05861660967032598, -0.11693332421610537]","[-0.29534321452044016, 0.06889428996614826, -0.05861660967032598, -0.002407822366908594, -0.028763842499806902]","[-0.20371868983943248, 0.06828603338471403, -0.002407822366908594, 0.04697021167647141, 0.021694901349874805]","[-0.09659217344994088, 0.0830040280892985, 0.04697021167647141, 0.3036211633653543, 0.09597354600682927]"
11.7910,"[-0.46377139931660644, 0.14238251154963902, -0.25059812061538606, -0.05939251690539006, -0.1186934416957789]","[-0.26569225912231414, 0.0707113268325183, -0.05939251690539006, -0.0022585099243966505, -0.029211042253245164]","[-0.1754449857816211, 0.06869185854103547, -0.0022585099243966505, 0.04735153779577443, 0.021955178440268768]","[-0.06931864719551699, 0.08417701884962031, 0.04735153779577443, 0.30605822270710653, 0.09711405523795123]"
11.5460,"[-0.4299891906597887, 0.14250734203680004, -0.25393383237517214, -0.06025172987321609, -0.12043850302145248]","[-0.23647946274350168, 0.0662721840551128, -0.06025172987321609, -0.002479825487237033, -0.0296775296542849]","[-0.14909100276228565, 0.07225958364682952, -0.002479825487237033, 0.047847030848241566, 0.022181225922525367]","[-0.0410603455667764, 0.08616097053605112, 0.047847030848241566, 0.3094335347290152, 0.09824757244650525]"
11.3130,"[-0.3939233746553431, 0.13719384224609096, -0.2571994485203168, -0.061123499990062016, -0.12214538292010481]","[-0.20491531107067026, 0.07200834496384804, -0.061123499990062016, -0.002512285136118305, -0.03012878101829339]","[-0.12281971884169, 0.0699150188403208, -0.002512285136118305, 0.04856003787870721, 0.02241517485146754]","[-0.017372847087148778, 0.08849346906668644, 0.04856003787870721, 0.314549508368474, 0.09935951313680716]"
11.0900,"[-0.36898060286385437, 0.1323332933666606, -0.26030369156871463, -0.06228599195853065, -0.12379072310242512]","[-0.1844187387932003, 0.06751371880696158, -0.06228599195853065, -0.0027002119072032683, -0.030570997345015387]","[-0.100220639242257, 0.06930313221768127, -0.0027002119072032683, 0.04930003004921974, 0.022665249493995687]","[-0.001003212221728327, 0.08340715824648948, 0.04930003004921974, 0.3157736783437803, 0.10040004641021764]"
10.8770,"[-0.33414822666459076, 0.13505097847137648, -0.2633322901584258, -0.06287877913601385, -0.12537783796194002]","[-0.16714235428421353, 0.06458035695691379, -0.06287877913601385, -0.002607063718689141, -0.03099985970342357]","[-0.08477239088405737, 0.06743187319073485, -0.002607063718689141, 0.04991239717041702, 0.022877842152762257]","[0.017508575530821673, 0.08045962992459545, 0.04991239717041702, 0.31828750265827177, 0.10146390579033202]"
10.6730,"[-0.3106190852328351, 0.12621941987059776, -0.2664257485331604, -0.06378405819602992, -0.12708638254330165]","[-0.13765180244175473, 0.06833385464794266, -0.06378405819602992, -0.0026280295993471713, -0.031497500372839604]","[-0.053290226233585855, 0.07098536176265953, -0.0026280295993471713, 0.050210438685684575, 0.023067311408902974]","[0.053831617626791874, 0.0867297384904189, 0.050210438685684575, 0.3225345185083443, 0.10261899002123852]"
10.4780,"[-0.2861358467318099, 0.12295258576577688, -0.26928886557822385, -0.06464556052359582, -0.1286641334185399]","[-0.11492895477947568, 0.06609802815102199, -0.06464556052359582, -0.0028320979716984426, -0.03191051395759406]","[-0.036722601884729984, 0.07017148207737399, -0.0028320979716984426, 0.05069804369453785, 0.0232629442071463]","[0.06678355856131507, 0.08959515910017105, 0.05069804369453785, 0.325720081235291, 0.10361657897441014]"
10.2900,"[-0.25906323947553467, 0.12378952707039784, -0.2721861717533795, -0.06580703769385791, -0.13027161858661257]","[-0.09080739476777071, 0.07322065645324657, -0.06580703769385791, -0.003019599878697287, -0.03236445084610007]","[-0.010359976960355776, 0.07341248509637865, -0.003019599878697287, 0.05093184236549557, 0.02345738734210105]","[0.0941644670599351, 0.09503486374743089, 0.05093184236549557, 0.3335845833001727, 0.1047000642670281]"
10.1100,"[-0.23515268427797945, 0.11962132494549467, -0.27499855381324895, -0.0666866331309759, -0.13178978068436686]","[-0.0717367068817657, 0.06834548175594625, -0.0666866331309759, -0.003115324619606992, -0.03275746015881976]","[0.007445003492945384, 0.07307560531493885, -0.003115324619606992, 0.05151649103884869, 0.023682575844061325]","[0.10666075274854855, 0.08908076247406134, 0.05151649103884869, 0.3337585094272405, 0.1056221830054112]"
9.9380,"[-0.2160051330630409, 0.11761336382107973, -0.2778232235744793, -0.06752977990132707, -0.13336613777987755]","[-0.05464290003336451, 0.06940050123415023, -0.06752977990132707, -0.0030967453466387474, -0.03323300821498041]","[0.026125516390487453, 0.07540006117833403, -0.0030967453466387474, 0.05199101655788596, 0.023833239927275943]","[0.12414984503120113, 0.09536800648227152, 0.05199101655788596, 0.3393208132057071, 0.10664409800176174]"
9.7710,"[-0.20192873488205865, 0.11373297543900476, -0.2805715383782749, -0.06862169424891902, -0.1347976615341862]","[-0.04583213140481047, 0.072667393399191, -0.06862169424891902, -0.003208892163044576, -0.03364043680106135]","[0.033799538018741755, 0.0758028627181385, -0.003208892163044576, 0.05208274076602389, 0.023966767171811208]","[0.13785318415478198, 0.0967365049175142, 0.05208274076602389, 0.3434227036343717, 0.10760483511869547]"
9.6110,"[-0.16771167927333752, 0.11948269085908525, -0.2834793027898943, -0.06946956384999528, -0.1363905817466758]","[-0.019403007237125548, 0.06805076260755837, -0.06946956384999528, -0.0033455897876244517, -0.034131920897200324]","[0.05939756276481766, 0.07213475766628984, -0.0033455897876244517, 0.0527802247153642, 0.02412701953351759]","[0.16409369249454078, 0.0874377341243724, 0.0527802247153642, 0.34517017035333236, 0.10864356437992792]"
9.4570,"[-0.14871832917831002, 0.11640104945199505, -0.2862350779278473, -0.07045777648511158, -0.13780219825101106]","[-0.001814277673248887, 0.07090878508635894, -0.07045777648511158, -0.0034684624829549723, -0.034501876650336265]","[0.07231912856737831, 0.07291512687370395, -0.0034684624829549723, 0.053070066720502636, 0.024312384387938216]","[0.1707183926277055, 0.08810210300095118, 0.053070066720502636, 0.34617467993196804, 0.10948899673154416]"
9.3080,"[-0.1437779109171519, 0.10769480584699095, -0.2890482335714143, -0.07132009424614814, -0.13931216332336818]","[0.011399131070671963, 0.07267613152585733, -0.07132009424614814, -0.0038251285796221794, -0.034933951116002546]","[0.09213428802150618, 0.07566588820671372, -0.0038251285796221794, 0.05375577016584552, 0.02449379742506323]","[0.1881418999430014, 0.08480138738011703, 0.05375577016584552, 0.34977865866439717, 0.11046780531336123]"
9.1640,"[-0.11756256390239721, 0.11399455188906282, -0.2918449719534573, -0.07246201690728754, -0.14080909063353253]","[0.030688453085683277, 0.07559770532771559, -0.07246201690728754, -0.0039614117590591365, -0.035408319742162964]","[0.10886377772010705, 0.07814125518918817, -0.0039614117590591365, 0.054042353399426674, 0.024599655747872845]","[0.2060924855688818, 0.09047813862268275, 0.054042353399426674, 0.35509434908010734, 0.11145487656311988]"
9.0260,"[-0.1082605328768998, 0.10654419979679214, -0.2944360280446088, -0.07361028740596798, -0.1422208971090709]","[0.04242371230212571, 0.07567225166537624, -0.07361028740596798, -0.004205262423658896, -0.0358051910352078]","[0.12049521612350615, 0.078633099483805, -0.004205262423658896, 0.05477340993532588, 0.024776000897574563]","[0.22014523838581765, 0.09352883320313977, 0.05477340993532588, 0.3602863487394071, 0.11238401353157079]"
8.8920,"[-0.08260321116773268, 0.11384719233321185, -0.29722380263312737, -0.07418283111895715, -0.14371683782809044]","[0.06504926946422483, 0.07524231868316458, -0.07418283111895715, -0.004196630278990955, -0.03628020846604579]","[0.14492100186264428, 0.07627469865079292, -0.004196630278990955, 0.055149418665115635, 0.024960461420208628]","[0.2365115535391217, 0.08720072604125295, 0.055149418665115635, 0.36330549216941677, 0.11332363469550853]"
8.7620,"[-0.0800589224911084, 0.10434962264951034, -0.29975464749778113, -0.07485343027078328, -0.14513554940094106]","[0.06843706980942302, 0.07377693659794675, -0.07485343027078328, -0.004429925451832981, -0.03674345254922683]","[0.14844882517145563, 0.07995130723945146, -0.004429925451832981, 0.05525308616837954, 0.025005684712268456]","[0.2514211087858461, 0.09542581513884345, 0.05525308616837954, 0.3658066662951507, 0.11436066226974355]"
8.6360,"[-0.06001727282185102, 0.10271882053100599, -0.30246479548677546, -0.07579190710112926, -0.14658246386219617]","[0.08523106872531508, 0.071987535309764, -0.07579190710112926, -0.00447152118622968, -0.03719473357324833]","[0.16233813768028993, 0.07726557361275786, -0.00447152118622968, 0.055847941529845256, 0.025141018391660237]","[0.26923667112039773, 0.09278900132233006, 0.055847941529845256, 0.3731574042540724, 0.1153339402772105]"
8.5150,"[-0.04273645670628534, 0.10695473378543954, -0.3050436390743705, -0.07682221988042744, -0.14799811701861662]","[0.10189114003195915, 0.07620514911133443, -0.07682221988042744, -0.004868556629722371, -0.03763875613469675]","[0.18117886908232372, 0.07688301184331171, -0.004868556629722371, 0.05626176877125178, 0.025301364494256583]","[0.28436878459021925, 0.0876114918581334, 0.05626176877125178, 0.3783011678129473, 0.11627406117109113]"
8.3970,"[-0.03461381865944646, 0.10562485256524573, -0.30755600220076207, -0.07821022227468649, -0.14936492460858147]","[0.11110353925459618, 0.07637438285054757, -0.07821022227468649, -0.004921267834181733, -0.03807486971634603]","[0.1866979957491349, 0.08290907854532373, -0.004921267834181733, 0.05656896030495866, 0.025410901038341857]","[0.28920834095091863, 0.09361114610121458, 0.05656896030495866, 0.3849390370410877, 0.11712434410980348]"
8.2830,"[-0.01669297268453092, 0.10779047722991696, -0.3101551254984507, -0.07928895029657268, -0.15076383899863016]","[0.12742957422865625, 0.07572879207113867, -0.07928895029657268, -0.005203629307723224, -0.03850010286261836]","[0.20501045644213184, 0.07763393913736431, -0.005203629307723224, 0.05719914618176668, 0.025584772770885746]","[0.30218233011126794, 0.08709510326923678, 0.05719914618176668, 0.38860052801225803, 0.11804494520714306]"
8.1720,"[-0.008035386532758634, 0.10572608028902253, -0.31259717416737703, -0.0791659351605384, -0.1520614078249726]","[0.13596994269082444, 0.07538628397089742, -0.0791659351605384, -0.005143515900347452, -0.03891936618910085]","[0.2130035070137522, 0.07929404675202884, -0.005143515900347452, 0.05742968667839828, 0.025701369204904793]","[0.31645953707960983, 0.09199608546013509, 0.05742968667839828, 0.3928095718676137, 0.11904681533090546]"
8.0640,"[0.009199560450478953, 0.10245040675653788, -0.31514421089263095, -0.08053671289295115, -0.15348616585623942]","[0.15034365504717556, 0.07553520765337739, -0.08053671289295115, -0.005176428583786408, -0.039382636591696815]","[0.23166905544313154, 0.07662864215090343, -0.005176428583786408, 0.058408355745635174, 0.02591977375053533]","[0.3241848289623376, 0.08642554435946138, 0.058408355745635174, 0.391395797609598, 0.11983740597918063]"
7.9600,"[0.026120562736329792, 0.10627359210499383, -0.3174902748893657, -0.08115467964888017, -0.15480376426529466]","[0.16297945180366114, 0.07328096323073917, -0.08115467964888017, -0.005271083031807577, -0.03982107780797376]","[0.24078495871518799, 0.0724172684111951, -0.005271083031807577, 0.05875728219601943, 0.026018549117227105]","[0.33698401343562817, 0.08280846759083252, 0.05875728219601943, 0.4068477446330013, 0.12077777668436335]"
7.8590,"[0.030007887272729225, 0.10359900502616606, -0.319961143456966, -0.08172517972919961, -0.15619646728372277]","[0.17549782680715992, 0.08353082500917769, -0.08172517972919961, -0.005693204855396791, -0.04028973940806409]","[0.24806472547544692, 0.07847166051210991, -0.005693204855396791, 0.05903893702960183, 0.026090259366029916]","[0.3469915925792862, 0.09205470905182514, 0.05903893702960183, 0.3961636068711288, 0.12162223226660962]"
7.7600,"[0.039800068411386974, 0.0996488840667625, -0.3222753800101177, -0.082537013416199, -0.157543494988365]","[0.17964976046804215, 0.07831391018901064, -0.082537013416199, -0.0056425508318077916, -0.04076588554028994]","[0.25812988773999973, 0.07645550259986363, -0.0056425508318077916, 0.059432968950121894, 0.026240262487850257]","[0.35634185822202513, 0.0829179706844656, 0.059432968950121894, 0.4049860113896121, 0.12253016635819791]"
7.6640,"[0.05896288070835124, 0.10378948805628643, -0.32461749548190955, -0.08419923121996277, -0.15888109408138892]","[0.19156986355088704, 0.07770414196059668, -0.08419923121996277, -0.006002150800075106, -0.04127294548255981]","[0.2688846482472347, 0.07494393990871688, -0.006002150800075106, 0.059236296775786706, 0.026296774132934134]","[0.36895505123385813, 0.08999492120817817, 0.059236296775786706, 0.4107675504059383, 0.12346306295995409]"
7.5700,"[0.06254156918317452, 0.10257544948288191, -0.32778852461538627, -0.08488859223799038, -0.1602174423034855]","[0.20781977221169162, 0.0842042239399222, -0.08488859223799038, -0.00574266923541424, -0.041644388115493695]","[0.28025813893123297, 0.08065654122524843, -0.00574266923541424, 0.05990439615103961, 0.02650546369026644]","[0.37283596856618223, 0.08774124719954866, 0.05990439615103961, 0.41018096732402154, 0.12421332729483293]"
7.4800,"[0.07125346728388932, 0.09957947817761312, -0.3311476308543373, -0.08618514831424391, -0.16164752539254482]","[0.21278174053780147, 0.08211519319137815, -0.08618514831424391, -0.005962856753084388, -0.042256455155935645]","[0.2874787875598419, 0.07646302629296592, -0.005962856753084388, 0.06056849868862121, 0.026466331085040103]","[0.38692546625082913, 0.08924874181657022, 0.06056849868862121, 0.4382074762612547, 0.12535442755848236]"
7.3910,"[0.08358867544518447, 0.09798352499815599, -0.33452236402086954, -0.0867836626440908, -0.16291410477428528]","[0.22668688529999054, 0.0850469140442687, -0.0867836626440908, -0.006646221102791134, -0.04262643103528285]","[0.300516584833411, 0.07787402887718205, -0.006646221102791134, 0.06094972362309385, 0.026595269190718543]","[0.39724931325827434, 0.08417893677029309, 0.06094972362309385, 0.4163728899989029, 0.12604332716777525]"
7.3050,"[0.08699539988659014, 0.09939210736996512, -0.3378419046835507, -0.08814213649063049, -0.16426385152375625]","[0.23222717412477076, 0.08398290645275355, -0.08814213649063049, -0.006827661790639065, -0.04316143376042162]","[0.3080194847561751, 0.07917685210558284, -0.006827661790639065, 0.06121011701907009, 0.026665308729277797]","[0.40958774375362755, 0.08206572524287864, 0.06121011701907009, 0.41944364469607864, 0.12704227048163136]"
