,bin0,bin1,bin2,bin3
43.6190,"[-3.6394430974981273, 0.07752851364406912, -0.08136288290203211, -0.016854186050843205, -0.03564759829670512]","[-3.561270146129324, 0.06084655932355055, -0.016854186050843205, 0.00022967118083602232, -0.007695149966602838]","[-3.512822651998603, 0.05984100457271297, 0.00022967118083602232, 0.01628352358954152, 0.008378557622745576]","[-3.442238671738362, 0.06882066127438449, 0.01628352358954152, 0.10049785477101728, 0.03277678102578568]"
38.9190,"[-3.3987300646654903, 0.08017818902723574, -0.09048096521905181, -0.01888644149233348, -0.0399307181568802]","[-3.310136055332685, 0.061779311473490764, -0.01888644149233348, 0.00022398954391025973, -0.008725816189020972]","[-3.25646403055814, 0.06076981852920408, 0.00022398954391025973, 0.01816897343961253, 0.009251344798595634]","[-3.1772304591081713, 0.07163187743198045, 0.01816897343961253, 0.11270945692309713, 0.036556522298179024]"
31.1370,"[-2.9354920511293576, 0.09115921505696177, -0.11217491033218997, -0.02386689296471839, -0.049854303033359276]","[-2.820178611851735, 0.06736707421470606, -0.02386689296471839, -0.0001326238501982174, -0.011218516445174413]","[-2.7492952355705222, 0.06797763788178489, -0.0001326238501982174, 0.02227482385497085, 0.011148691341950038]","[-2.641722643080554, 0.08868853539182481, 0.02227482385497085, 0.14112661306268148, 0.04515521149691739]"
30.0000,"[-2.8576109429128693, 0.0941455449685817, -0.11625639074568545, -0.02479318159981847, -0.05173176565920682]","[-2.7358917050070124, 0.06919142240046394, -0.02479318159981847, -0.0002521024401238463, -0.011705831249496673]","[-2.660882163044313, 0.07082065507379913, -0.0002521024401238463, 0.02302290272223963, 0.011490429312332453]","[-2.5456814227930566, 0.09460901153225605, 0.02302290272223963, 0.1464958824333346, 0.046757741637526794]"
27.9000,"[-2.7032167151977284, 0.10195314638514844, -0.12464639297156437, -0.026768747697733273, -0.055588637241003096]","[-2.5660290685570777, 0.07463038775691438, -0.026768747697733273, -0.0003927549903577673, -0.012716488190327776]","[-2.4794287255186953, 0.07857490396553789, -0.0003927549903577673, 0.024605212556635572, 0.012184034350526897]","[-2.345076077921392, 0.10944918446347114, 0.024605212556635572, 0.15749125691054808, 0.0500385081751208]"
26.1240,"[-2.558030712418525, 0.11116989660139343, -0.1327305083990066, -0.028655911782084896, -0.059332643218512976]","[-2.4009488813857294, 0.08316651497167213, -0.028655911782084896, -0.00047717629059162346, -0.013716494181760961]","[-2.301653431690982, 0.08885318547919697, -0.00047717629059162346, 0.02596063003530004, 0.01282691616351595]","[-2.1458044109744234, 0.12571673856023183, 0.02596063003530004, 0.16807074562411053, 0.05318665163968424]"
24.5970,"[-2.4169157700636723, 0.12357873290213688, -0.14045193557198926, -0.030595830518041846, -0.06296157154199464]","[-2.2386090915099652, 0.09250492970095975, -0.030595830518041846, -0.0006769979008312138, -0.01469586945792925]","[-2.1230445037422596, 0.09938474916296923, -0.0006769979008312138, 0.027353128019693772, 0.013433811089226044]","[-1.9438458592510575, 0.14010571292059604, 0.027353128019693772, 0.17823189399614373, 0.0562217174685709]"
23.2680,"[-2.277575017662447, 0.13770861683325952, -0.1478353196881596, -0.03258463956360569, -0.06648491306269812]","[-2.077054595938334, 0.10107312597467277, -0.03258463956360569, -0.0008606321413443681, -0.01565332044428144]","[-1.9457958346136257, 0.10825361478362859, -0.0008606321413443681, 0.028778478216207323, 0.014012506900210102]","[-1.7472688600298092, 0.15088280528248937, 0.028778478216207323, 0.18802937972151523, 0.059140539323109094]"
22.1000,"[-2.140669951975362, 0.15187186429751248, -0.15492922832590877, -0.03425769854321125, -0.06991600135090789]","[-1.9145589268068925, 0.10952256748869768, -0.03425769854321125, -0.0012483072839856017, -0.016598996403451534]","[-1.7695233042887073, 0.11418216976449226, -0.0012483072839856017, 0.02989663896893041, 0.014553390366355891]","[-1.5585782989961308, 0.15338151088621138, 0.02989663896893041, 0.19731825484478763, 0.061933656944429205]"
21.0620,"[-2.0049870116974904, 0.16603652710608013, -0.16174499776244253, -0.036054070668406456, -0.07323567902154919]","[-1.7557438584255414, 0.11526679105104473, -0.036054070668406456, -0.001518896799434473, -0.017509178232179297]","[-1.599283530113219, 0.11661086200373416, -0.001518896799434473, 0.03103111019076878, 0.015078982423212123]","[-1.3804036250691125, 0.1530412059592303, 0.03103111019076878, 0.20621417973240147, 0.06461370144896006]"
20.1340,"[-1.8716485510891323, 0.1784929743164992, -0.1682740044687644, -0.03771868599734667, -0.07645643430797021]","[-1.6029404045191178, 0.11725837752212365, -0.03771868599734667, -0.0018261917554368672, -0.01839142026644852]","[-1.4390758516000959, 0.11714527062455397, -0.0018261917554368672, 0.032109223664021226, 0.015579944416957306]","[-1.2208839696338156, 0.1478865868583686, 0.032109223664021226, 0.21462334100671845, 0.0671671177006913]"
