# z	mean C
43.619	1.072
38.919	1.094
31.137	1.160
30.000	1.176
27.900	1.215
26.124	1.263
24.597	1.323
23.268	1.398
22.100	1.491
21.062	1.606
20.134	1.741
19.298	1.902
18.540	2.075
17.848	2.282
17.215	2.497
16.633	2.739
16.095	2.980
15.596	3.243
15.132	3.530
14.699	3.855
14.294	4.129
13.914	4.455
13.557	4.795
13.221	5.184
12.903	5.537
12.603	5.865
12.318	6.188
12.048	6.644
11.791	7.010
11.546	7.458
11.313	7.871
11.090	8.235
10.877	8.517
10.673	9.258
10.478	9.632
10.290	10.236
10.110	10.595
9.938	11.144
9.771	11.452
9.611	12.213
9.457	12.559
9.308	13.116
9.164	13.789
9.026	14.316
8.892	15.031
8.762	15.474
8.636	16.247
8.515	16.980
8.397	17.308
8.283	18.123
8.172	18.862
8.064	19.433
7.960	20.117
7.859	20.917
7.760	21.254
7.664	22.491
7.570	22.808
7.480	23.721
7.391	24.552
7.305	25.378
