# z	mean C
43.619	1.070
38.919	1.091
31.137	1.155
30.000	1.171
27.900	1.208
26.124	1.253
24.597	1.309
23.268	1.380
22.100	1.467
21.062	1.575
20.134	1.701
19.298	1.851
18.540	2.013
17.848	2.208
17.215	2.410
16.633	2.637
16.095	2.865
15.596	3.104
15.132	3.375
14.699	3.676
14.294	3.943
13.914	4.228
13.557	4.577
13.221	4.965
12.903	5.262
12.603	5.569
12.318	5.854
12.048	6.304
11.791	6.623
11.546	7.032
11.313	7.424
11.090	7.756
10.877	8.023
10.673	8.695
10.478	9.013
10.290	9.541
10.110	9.914
9.938	10.417
9.771	10.639
9.611	11.370
9.457	11.711
9.308	12.185
9.164	12.890
9.026	13.234
8.892	13.951
8.762	14.314
8.636	14.979
8.515	15.627
8.397	15.983
8.283	16.642
8.172	17.193
8.064	17.802
7.960	18.471
7.859	19.128
7.760	19.458
7.664	20.618
7.570	20.909
7.480	21.659
7.391	22.420
7.305	23.105
