,bin0,bin1,bin2,bin3,bin4
6.5490,"[0.24034523261816748, 0.07800731705404954, -0.2611274009806405, -0.07442495799061848, -0.13687715343213636]","[0.3529017848060434, 0.05543327144496379, -0.07442495799061848, -0.014220525896105835, -0.041497315838991904]","[0.3924878391766549, 0.04865751695241417, -0.014220525896105835, 0.02250161278536833, 0.004332339149528006]","[0.43017240282789565, 0.05147719958773961, 0.02250161278536833, 0.06506201730060215, 0.0419020788559338]","[0.5050484276931421, 0.06776577955940251, 0.06506201730060215, 0.3269412131000897, 0.10980396861788956]"
6.4830,"[0.2469103079435129, 0.07773020499158292, -0.2622139261813407, -0.07472074982167642, -0.13747802427385314]","[0.35939801925099446, 0.05547054623337454, -0.07472074982167642, -0.01429238112606709, -0.04169196575704284]","[0.39881686890045026, 0.048638295900432275, -0.01429238112606709, 0.022572321270605666, 0.00433084774954417]","[0.43650136676784757, 0.05145161525378569, 0.022572321270605666, 0.06533188701273622, 0.04205664434333371]","[0.5112927547965238, 0.06771078538446125, 0.06533188701273622, 0.3281208484574516, 0.11022220838576047]"
6.4180,"[0.25335084293477356, 0.07745729159672946, -0.2632885217218686, -0.07501322671487023, -0.13807243670679992]","[0.36577389254534926, 0.055507256252263916, -0.07501322671487023, -0.0143634645786983, -0.04188456195978201]","[0.40502906150943424, 0.04861936607651071, -0.0143634645786983, 0.02264215143058214, 0.004329314268834457]","[0.44271386394951495, 0.05142641856125533, 0.02264215143058214, 0.06559882564733313, 0.04220946556362454]","[0.517422553220798, 0.06765662445459486, 0.06559882564733313, 0.32928721809363626, 0.11063579345906664]"
6.3540,"[0.2596681054186988, 0.0771885768694891, -0.2643509903130239, -0.07530233779748988, -0.13866027583714607]","[0.3720304932115653, 0.055543401501631916, -0.07530233779748988, -0.014433762488967024, -0.04207506562136705]","[0.4111254588001355, 0.04860072748064948, -0.014433762488967024, 0.0227110946779862, 0.004327741428540477]","[0.44881091630317677, 0.0514016095101485, 0.0227110946779862, 0.0658627828871842, 0.042360516451572516]","[0.5234388157644785, 0.06760329676980335, 0.0658627828871842, 0.3304401214546696, 0.11104465061170157]"
6.2920,"[0.265765177971483, 0.07692825947747502, -0.26538443470451, -0.07558348939486048, -0.13923218402882023]","[0.37807161040462345, 0.055578417211957165, -0.07558348939486048, -0.014502155768399288, -0.042260441737696795]","[0.417012285153665, 0.04858267134090891, -0.014502155768399288, 0.022778061002988636, 0.004326157949845949]","[0.45469871061672174, 0.05137757574188877, 0.022778061002988636, 0.06611955881207185, 0.04250739774135737]","[0.5292489480961406, 0.06755163557516157, 0.06611955881207185, 0.33156124335448744, 0.11144228152468622]"
6.2310,"[0.2717421407192687, 0.07667214075307406, -0.2664052323209206, -0.07586114123141921, -0.1397972159298465]","[0.3839961894764032, 0.05561286815276104, -0.07586114123141921, -0.014569727206982335, -0.04244362286002737]","[0.42278593086874905, 0.04856490642922868, -0.014569727206982335, 0.022844117977556255, 0.0043245423762183054]","[0.4604736263387802, 0.05135392961505257, 0.022844117977556255, 0.06637322068573906, 0.042652440075168385]","[0.5349480343234522, 0.06750080762559466, 0.06637322068573906, 0.33266837056497744, 0.11183499158417354]"
6.1720,"[0.27750269118678256, 0.07642441936389938, -0.2673963643751939, -0.07613066837824678, -0.14034594288243613]","[0.38970856481588595, 0.05564618955452217, -0.07613066837824678, -0.0146353492087394, -0.04262154992373994]","[0.4283531400180341, 0.048547723973669105, -0.0146353492087394, 0.02290817047729157, 0.004322925193565106]","[0.4660423613097333, 0.05133105877106347, 0.02290817047729157, 0.06661953751761537, 0.04279322818055796]","[0.5404439736459871, 0.06745164616617746, 0.06661953751761537, 0.33374306436485374, 0.11221623736734726]"
6.1130,"[0.2832432294147275, 0.07617669797472468, -0.2683912442447062, -0.0764011598501057, -0.14089685837476407]","[0.39540335098498297, 0.0556795109562833, -0.0764011598501057, -0.014701233378507268, -0.04280021803163635]","[0.43390356343782455, 0.04853054151810954, -0.014701233378507268, 0.02297238181175605, 0.004321254155200083]","[0.4715946008460579, 0.05130818792707437, 0.02297238181175605, 0.06686681199593422, 0.04293451020154915]","[0.5459239563949629, 0.06740248470676029, 0.06686681199593422, 0.3348215676873365, 0.11259887404992294]"
6.0560,"[0.2887702536804851, 0.07593737392077624, -0.26935596619322977, -0.0766633998097737, -0.14143118179694822]","[0.4008884510387682, 0.055711702819001674, -0.0766633998097737, -0.014765133714578634, -0.042973534957698525]","[0.4392499560164532, 0.048513941518670625, -0.014765133714578634, 0.02303456752236349, 0.004319588440620071]","[0.47694302165113484, 0.051286092365932345, 0.02303456752236349, 0.06710661574226404, 0.043071473026132796]","[0.5512030818232122, 0.06735498973749285, 0.06710661574226404, 0.33586713711318666, 0.1129698637211269]"
6.0000,"[0.29418228745560815, 0.07570224853444094, -0.2703071837911547, -0.07692191907696126, -0.141958128932265]","[0.4062614525895698, 0.05574332991219867, -0.07692191907696126, -0.014828152310213895, -0.043144487784183436]","[0.4444874110473589, 0.04849763274729205, -0.014828152310213895, 0.02309580697110774, 0.004317902668830195]","[0.4821827293515436, 0.051264384446213875, 0.02309580697110774, 0.06734308654523373, 0.0432064837140331]","[0.5563752000661416, 0.06730832801330026, 0.06734308654523373, 0.3368978401131061, 0.11333561425401066]"
5.9450,"[0.2994803648493376, 0.07547132181571876, -0.2712447219897623, -0.07717667256061658, -0.14247759770516494]","[0.4115232541022952, 0.0557743922358743, -0.07717667256061658, -0.014890276936844166, -0.043313041983758224]","[0.4496167869647129, 0.0484816152039738, -0.014890276936844166, 0.023156092635216174, 0.004316199302822397]","[0.4873145668051411, 0.05124306416791895, 0.023156092635216174, 0.06757617971963216, 0.04333951916608532]","[0.561441128058245, 0.06726249953418256, 0.06757617971963216, 0.3379134987486532, 0.11369606068051688]"
