,bin0,bin1,bin2,bin3,bin4
10.6730,"[-0.22070068826314201, 0.09980165091520335, -0.20010001463973096, -0.057599895883209504, -0.1028875624263963]","[-0.09128732525673453, 0.05463738124215091, -0.057599895883209504, -0.009973624977646714, -0.030391903481551345]","[-0.044814952899867984, 0.046501527529838424, -0.009973624977646714, 0.019111301564618353, 0.004507544230347411]","[0.00011053898970401845, 0.05043007817549948, 0.019111301564618353, 0.04982744708070782, 0.033174331283949504]","[0.07598296192438292, 0.06675548548451271, 0.04982744708070782, 0.2564474816371314, 0.08565760680869638]"
10.4780,"[-0.2011900303445827, 0.09700834541684533, -0.20249159832729133, -0.05801631836971441, -0.10417983666564577]","[-0.07835763983777111, 0.048669090236088126, -0.05801631836971441, -0.010321867394726018, -0.030822886999123687]","[-0.028692950405821798, 0.04556945248740547, -0.010321867394726018, 0.019469028983622325, 0.004506794718479307]","[0.010043040573483446, 0.0553560141022472, 0.019469028983622325, 0.050387466335326904, 0.03348488397246098]","[0.09883463309135031, 0.07638774949533123, 0.050387466335326904, 0.258994731747477, 0.08664024166775423]"
10.2900,"[-0.1723490276395931, 0.09682466466573714, -0.20489054863823894, -0.05890531611339715, -0.10548255241871539]","[-0.05047322644173596, 0.05115948259126964, -0.05890531611339715, -0.01047846894530492, -0.031230606694801863]","[-0.004981283223438282, 0.0494478418181084, -0.01047846894530492, 0.01951683582985246, 0.004498195910665373]","[0.035602361016993725, 0.05755022369309394, 0.01951683582985246, 0.05091418278732076, 0.033814774951267994]","[0.12361056314670549, 0.07630658916410878, 0.05091418278732076, 0.2621937486731826, 0.08753316395099268]"
10.1100,"[-0.1514943570943373, 0.09707169344644681, -0.20716712599908743, -0.05927758953957266, -0.10671103922489382]","[-0.03059132207717654, 0.053416311736539594, -0.05927758953957266, -0.010859350405981764, -0.031595279484104774]","[0.017969385943718188, 0.04891587765202273, -0.010859350405981764, 0.01955643150407093, 0.004554107760336492]","[0.0530765940857076, 0.04849627986994712, 0.01955643150407093, 0.051392504126995274, 0.03415079182504669]","[0.12790770295483472, 0.07167373215077481, 0.051392504126995274, 0.2639877509580945, 0.08823758222579685]"
9.9380,"[-0.1302378433757718, 0.09229341917919771, -0.20948724577432445, -0.059916151786659724, -0.10798824241129566]","[-0.0138189865912381, 0.054576191963458864, -0.059916151786659724, -0.010855340535767524, -0.03203123584399069]","[0.03127309027243524, 0.047453002191049636, -0.010855340535767524, 0.01901087480939611, 0.004495558985414407]","[0.06863854369728348, 0.05050274675057838, 0.01901087480939611, 0.05200786631465319, 0.03443373911204808]","[0.1571053751819751, 0.07825035391614303, 0.05200786631465319, 0.2675243365046074, 0.08927309981197855]"
9.7710,"[-0.12099993896486426, 0.09239220311016424, -0.21160157597629337, -0.060535608604488804, -0.10916076388248198]","[-0.001491384669595095, 0.05442823340546266, -0.060535608604488804, -0.01104219782188707, -0.03239490449994477]","[0.045906489986342856, 0.0533513134862252, -0.01104219782188707, 0.01935849921811138, 0.0045346866938350255]","[0.0798218570302418, 0.05432148231384575, 0.01935849921811138, 0.05227174567449024, 0.034730846760884795]","[0.1647490079680028, 0.08017616793007266, 0.05227174567449024, 0.2696696542256745, 0.0900460268336398]"
9.6110,"[-0.0904048455160667, 0.09109308360152561, -0.21396050201256084, -0.06138537244166964, -0.11046253490830378]","[0.02058321479447098, 0.051068615706172944, -0.06138537244166964, -0.011303497811806855, -0.03285735781892791]","[0.0749968859754479, 0.04623649376082224, -0.011303497811806855, 0.019125375461231976, 0.00451958141655531]","[0.11040644707784991, 0.05066972780849532, 0.019125375461231976, 0.052953333979980886, 0.03512478282882119]","[0.19014813517758122, 0.06714490179303527, 0.052953333979980886, 0.27178560384846007, 0.09093187386005634]"
9.4570,"[-0.075172390977458, 0.08918957609585783, -0.21607116138504023, -0.06174615539182438, -0.11161697809611529]","[0.03881208014688042, 0.05205421193807587, -0.06174615539182438, -0.011413106626795785, -0.033176563771584705]","[0.08444074283193918, 0.04544768437874392, -0.011413106626795785, 0.019321489639557182, 0.004523530525848841]","[0.12031288885273593, 0.05174390167736269, 0.019321489639557182, 0.05355504224660619, 0.03541420850625889]","[0.19751308526650888, 0.067267350809636, 0.05355504224660619, 0.2730516709797863, 0.09166805203610345]"
9.3080,"[-0.06338572804972442, 0.08937481383670898, -0.218148681092282, -0.0624216670736906, -0.11283164204904972]","[0.056584219582742186, 0.0555843210271793, -0.0624216670736906, -0.011192031341944506, -0.033554464546689027]","[0.10163943360747342, 0.04625550856001964, -0.011192031341944506, 0.019667123541384834, 0.004519536981177001]","[0.1400271886299476, 0.04648828749783292, 0.019667123541384834, 0.054355040115210196, 0.03576118622929892]","[0.2146436156433247, 0.06405919807210186, 0.054355040115210196, 0.27568791406696264, 0.0925654625560064]"
9.1640,"[-0.036941231323734225, 0.09114659271075051, -0.22031164855859917, -0.06304228377876409, -0.11404790219383254]","[0.07522968984483558, 0.0551686732130786, -0.06304228377876409, -0.011714546985934637, -0.03398804367978102]","[0.12039595772813408, 0.050030389991812974, -0.011714546985934637, 0.0198610155859063, 0.004460747485689301]","[0.15555458343449288, 0.054475489445627606, 0.0198610155859063, 0.054850114536644914, 0.03598572399413731]","[0.23184511958596415, 0.0662167567847719, 0.054850114536644914, 0.27873305183154773, 0.09346734884455232]"
9.0260,"[-0.033880540402881056, 0.08912361325826966, -0.2223270228769204, -0.0635412928192732, -0.11523200336291296]","[0.08840144201232579, 0.05725385500575272, -0.0635412928192732, -0.011868160391765352, -0.03434528352454212]","[0.13271704354078356, 0.05160485400841605, -0.011868160391765352, 0.019943233741654513, 0.004461858146315864]","[0.16994605279045183, 0.05559280166583258, 0.019943233741654513, 0.054925381723686106, 0.03630879446599999]","[0.24815064239199636, 0.07337058779525747, 0.054925381723686106, 0.2820483327269485, 0.09430503100303513]"
8.8920,"[-0.008102681673490325, 0.08700901912578632, -0.22450028514717543, -0.06433821879986931, -0.11646354983466062]","[0.1112851475891828, 0.056293318984612296, -0.06433821879986931, -0.011925410910854303, -0.03473060274581664]","[0.1550037181019761, 0.04867718787871744, -0.011925410910854303, 0.020202546913858897, 0.004447288814759137]","[0.188730224786062, 0.049545869931257994, 0.020202546913858897, 0.05563142506497342, 0.03658824545741804]","[0.2615129668927454, 0.06420131434570917, 0.05563142506497342, 0.2841745373946862, 0.09509496133766025]"
