#z      a               b               c
43.619	-9.7905e-03	8.3627e-02	2.9239e-02
38.919	2.2694e-02	1.0831e-01	3.7684e-02
31.137	1.9687e-01	1.9234e-01	6.2123e-02
30.000	2.6329e-01	2.1589e-01	6.7754e-02
27.900	4.5177e-01	2.7829e-01	8.0847e-02
26.124	7.0468e-01	3.6073e-01	9.6061e-02
24.597	9.6422e-01	4.6629e-01	1.1425e-01
23.268	1.2084e+00	5.8862e-01	1.3572e-01
22.100	1.3135e+00	7.2143e-01	1.6118e-01
21.062	1.3543e+00	8.6327e-01	1.9048e-01
20.134	1.2544e+00	9.9340e-01	2.2293e-01
19.298	1.1424e+00	1.1201e+00	2.5853e-01
18.540	7.4874e-01	1.1952e+00	2.9525e-01
17.848	4.4324e-01	1.2873e+00	3.3440e-01
17.215	9.8753e-02	1.3404e+00	3.7312e-01
16.633	-1.2945e-01	1.3922e+00	4.1191e-01
16.095	-5.1429e-01	1.4041e+00	4.4921e-01
15.596	-5.7499e-01	1.4256e+00	4.8411e-01
15.132	-7.7884e-01	1.4392e+00	5.2071e-01
14.699	-9.0259e-01	1.4554e+00	5.5765e-01
14.294	-1.0980e+00	1.4301e+00	5.8919e-01
13.914	-9.6342e-01	1.4350e+00	6.1882e-01
13.557	-1.2053e+00	1.4201e+00	6.5397e-01
13.221	-1.1298e+00	1.4307e+00	6.8528e-01
12.903	-1.1340e+00	1.4262e+00	7.1225e-01
12.603	-9.8564e-01	1.4182e+00	7.3630e-01
12.318	-8.4226e-01	1.3945e+00	7.5767e-01
12.048	-9.2427e-01	1.4000e+00	7.8818e-01
11.791	-9.4177e-01	1.3848e+00	8.1218e-01
11.546	-7.7321e-01	1.3988e+00	8.3497e-01
11.313	-7.1967e-01	1.3802e+00	8.5881e-01
11.090	-8.4436e-01	1.3557e+00	8.7728e-01
10.877	-5.9208e-01	1.3051e+00	8.9321e-01
10.673	-5.1377e-01	1.3939e+00	9.2126e-01
10.478	-4.9301e-01	1.3661e+00	9.3815e-01
10.290	-2.3660e-01	1.4064e+00	9.6149e-01
10.110	-4.7017e-01	1.3559e+00	9.8019e-01
9.938	-2.1931e-01	1.3766e+00	9.9625e-01
9.771	-6.4869e-02	1.3820e+00	1.0061e+00
9.611	7.9861e-03	1.3638e+00	1.0332e+00
9.457	-2.5021e-01	1.3168e+00	1.0494e+00
9.308	-3.8905e-01	1.3614e+00	1.0663e+00
9.164	-3.1764e-01	1.3549e+00	1.0871e+00
9.026	-6.0143e-02	1.3801e+00	1.0977e+00
8.892	-4.4759e-01	1.3447e+00	1.1257e+00
8.762	-3.3633e-02	1.4059e+00	1.1297e+00
8.636	1.4656e-01	1.4154e+00	1.1471e+00
8.515	-1.3269e-02	1.4062e+00	1.1682e+00
8.397	-7.1337e-03	1.3955e+00	1.1765e+00
8.283	-7.0044e-02	1.3848e+00	1.1960e+00
8.172	1.3487e-01	1.4220e+00	1.2064e+00
8.064	-1.5115e-01	1.3746e+00	1.2262e+00
7.960	3.5974e-02	1.3769e+00	1.2395e+00
7.859	-5.3955e-02	1.3914e+00	1.2524e+00
7.760	-3.1306e-02	1.3889e+00	1.2619e+00
7.664	1.7385e-01	1.3861e+00	1.2768e+00
7.570	-2.4002e-01	1.3622e+00	1.2932e+00
7.480	7.4494e-02	1.4002e+00	1.3012e+00
7.391	-1.4745e-01	1.3803e+00	1.3200e+00
7.305	-6.7967e-02	1.4196e+00	1.3296e+00
7.221	1.4199e-01	1.3759e+00	1.3412e+00
7.139	1.5829e-01	1.3756e+00	1.3527e+00
7.059	1.7419e-01	1.3753e+00	1.3639e+00
6.981	1.8970e-01	1.3750e+00	1.3750e+00
6.905	2.0481e-01	1.3747e+00	1.3858e+00
6.830	2.1972e-01	1.3744e+00	1.3966e+00
6.757	2.3423e-01	1.3741e+00	1.4071e+00
6.686	2.4835e-01	1.3738e+00	1.4174e+00
6.617	2.6207e-01	1.3735e+00	1.4274e+00
6.549	2.7559e-01	1.3733e+00	1.4374e+00
6.483	2.8871e-01	1.3730e+00	1.4471e+00
6.418	3.0163e-01	1.3728e+00	1.4567e+00
6.354	3.1435e-01	1.3725e+00	1.4662e+00
6.292	3.2668e-01	1.3723e+00	1.4754e+00
6.231	3.3881e-01	1.3720e+00	1.4845e+00
6.172	3.5054e-01	1.3718e+00	1.4934e+00
6.113	3.6227e-01	1.3716e+00	1.5023e+00
6.056	3.7360e-01	1.3713e+00	1.5109e+00
6.000	3.8473e-01	1.3711e+00	1.5194e+00
5.945	3.9567e-01	1.3709e+00	1.5278e+00
